,__name__,avg_cpu_frequency,block_devices_used,command,container,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,endpoint,instance,job,namespace,pod,pod_name,pod_namespace,service,total_bytes_read,total_bytes_writes,total_cache_miss,total_cgroupfs_cpu_usage_us,total_cgroupfs_memory_usage_bytes,total_cgroupfs_system_cpu_usage_us,total_cgroupfs_user_cpu_usage_us,total_container_cpu_usage_seconds_total,total_container_memory_working_set_bytes,total_cpu_cycles,total_cpu_instr,total_cpu_time,timestamp,pod_energy_stat
29,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,3273,1560,0,1545,1560,0,0,5228630,1377535,4000,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019772707,5272163104,24723456,2707590296,5272163104,0,0,4985578927917,933728595663,1438678050,1666163715,2555
30,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,3464,2213,0,2214,2213,0,0,10942442,1422367,4470,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019743155,5272151040,24723456,2707579938,5272151040,0,0,4985519906785,933720239454,1438658554,1666163697,2094
31,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,3824,2381,0,2380,2381,0,0,12294692,1292878,5001,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019739691,5272148827,24723456,2707577724,5272148827,0,0,4985508964343,933718817087,1438654084,1666163694,2544
32,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,4024,2877,0,2392,2877,0,0,16010329,1281234,6454,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019776731,5272165981,24723456,2707592688,5272165981,0,0,4985594938246,933729876897,1438684504,1666163718,3260
33,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,4559,1540,0,791,1540,0,0,11798102,2666608,3500,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019859650,5272188375,24723456,2707593492,5272188375,0,0,4985679416247,933756195659,1438701461,1666163730,3056
34,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,4707,2032,0,1044,2032,0,0,9301864,1735921,4996,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019735867,5272146446,24723456,2707575344,5272146446,0,0,4985496669651,933717524209,1438649083,1666163691,2271
35,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,5091,2266,0,0,2266,0,0,7091482,1686310,4993,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019846699,5272184707,24723456,2707592688,5272184707,0,0,4985657538919,933750717088,1438694493,1666163724,2461
36,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,5152,2071,0,1063,2071,0,0,20183037,1376660,4497,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019875477,5272192674,24723456,2707595649,5272192674,0,0,4985716364746,933759761784,1438709465,1666163736,2358
37,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,5557,2534,0,1229,2534,0,0,8996584,1627196,4524,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019731160,5272144414,24723456,2707574300,5272144414,0,0,4985487367787,933715788288,1438644087,1666163688,2460
38,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,5710,1545,0,1300,1545,0,0,9850646,1226078,1999,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019748865,5272152585,24723456,2707581238,5272152585,0,0,4985529757431,933721465532,1438660553,1666163700,3428
