,__name__,avg_cpu_frequency,block_devices_used,command,container,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,endpoint,instance,job,namespace,pod,pod_name,pod_namespace,service,total_bytes_read,total_bytes_writes,total_cache_miss,total_cgroupfs_cpu_usage_us,total_cgroupfs_memory_usage_bytes,total_cgroupfs_system_cpu_usage_us,total_cgroupfs_user_cpu_usage_us,total_container_cpu_usage_seconds_total,total_container_memory_working_set_bytes,total_cpu_cycles,total_cpu_instr,total_cpu_time,timestamp,pod_energy_stat
10,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,31328,3556,8192,988,3556,0,0,15415787,6354024,2604,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14996578300,16034718418,77127680,6284286264,16034718418,0,0,9590795770567,2747686775337,2038282615,1666165081,13060
11,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,32278,4233,262144,1536,4233,0,0,15463346,6408130,7339,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14996747180,16034745020,77295616,6284298717,16034745020,0,0,9590885171991,2747723052246,2038304012,1666165096,15648
12,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,40281,3925,106496,1350,3925,0,0,19492003,6806377,4603,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14996523403,16034711750,77123584,6284284500,16034711750,0,0,9590766807885,2747674518898,2038273596,1666165075,15141
13,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,7195,4230,12288,1477,4230,0,0,6246670,3545349,5262,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14996685862,16034737523,77025280,6284294010,16034737523,0,0,9590857127921,2747711668554,2038295414,1666165090,7553
14,pod_energy_stat,2489328.027778,0,coremark-1,kepler-exporter,0,0,32381578,0,0,0,0,0,0,133704042676,326046078502,15435,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,coremark-cpeh-402035878-gsvmt,default,kepler-exporter,0,0,62560548,40780,512000,26889,40780,0,0,328765651208,805509255055,39050,1666165075,146727
15,pod_energy_stat,2489328.027778,0,coremark-1,kepler-exporter,0,0,39525631,0,0,0,0,0,0,103746139387,248926171046,11688,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,coremark-cpeh-402035878-gsvmt,default,kepler-exporter,0,0,198337586,40780,512000,26889,40780,0,0,698889390316,1697771038195,80807,1666165084,147666
16,pod_energy_stat,2489328.027778,0,coremark-1,kepler-exporter,0,0,47537721,0,0,0,0,0,0,133114106964,322019922285,15058,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,coremark-cpeh-402035878-gsvmt,default,kepler-exporter,0,0,110098269,40780,512000,26889,40780,0,0,461879758172,1127529177340,54108,1666165078,157188
17,pod_energy_stat,2489328.027778,0,coremark-1,kepler-exporter,0,0,48713686,0,0,0,0,0,0,133263492757,321315689809,15011,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,coremark-cpeh-402035878-gsvmt,default,kepler-exporter,0,0,158811955,40780,512000,26889,40780,0,0,595143250929,1448844867149,69119,1666165081,152194
18,pod_energy_stat,2489328.027778,0,coremark-2,kepler-exporter,0,0,1994536,17288271,897024,2948,17288271,0,0,49341022255,123983770479,5783,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,coremark-cpeh-3118308747-l9pj8,default,kepler-exporter,0,0,2137945,19556347,1277952,16814,19556347,0,0,56554857079,142187329632,6728,1666165120,53449
19,pod_energy_stat,2489328.027778,0,coremark-2,kepler-exporter,0,0,23252954,71746899,0,5,71746899,0,0,201141732690,498709412183,23457,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,coremark-cpeh-3118308747-l9pj8,default,kepler-exporter,0,0,25390899,91303246,1277952,16819,91303246,0,0,257696589769,640896741815,30185,1666165123,142865
