,__name__,container,cpu_architecture,endpoint,instance,job,namespace,block_devices_used,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,energy_in_core_joule,energy_in_dram_joule,energy_in_gpu_joule,energy_in_other_joule,energy_in_pkg_joule,energy_in_uncore_joule,name,pod,service,timestamp,node_energy_stat
79,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,155648,53848615,60267524,5353472,153046,60267524,0,0,172254473745,407402098576,307701,343.289000,158.535000,0.000000,0.000000,501.824000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164874,0
80,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,16384,12795125,1822144,2207744,720062,1822144,0,0,19516721831,29899093278,116919,170.859000,156.333000,0.000000,0.000000,327.192000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164520,0
81,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,16384,17266110,13347011,1855488,134999,13347011,1,823296,45724327173,101044923739,218148,197.530000,156.702000,0.000000,0.000000,354.232000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165231,0
82,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,16384,44620440,298559,4771840,41497,298559,2,3129344,81921446993,175958482204,249661,234.105000,158.657000,0.000000,0.000000,392.762000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164313,0
83,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,163840,20548700,2376201,2617344,190606,2376201,0,0,19868393294,27483190996,255470,157.820000,139.035000,0.000000,0.000000,296.855000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164859,0
84,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,163840,32207281,461137,10571776,180744,461137,0,0,77138022518,176662554234,284062,237.878000,156.821000,0.000000,0.000000,394.699000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164559,0
85,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,167936,13405250,636248,1990656,222820,636248,0,0,18449044646,24317232942,252546,161.764000,143.470000,0.000000,0.000000,305.234000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164754,0
86,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,167936,89038880,243942,3166208,38707,243942,1,0,270984783621,563657526822,349304,412.234000,160.240000,0.000000,0.000000,572.474000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165402,0
87,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,172032,6275516,20312697,5201920,234247,20312697,0,0,60645956734,114009384799,249332,190.457000,140.143000,0.000000,0.000000,330.600000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164679,0
88,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,176128,31248610,368972,6225920,59809,368972,1,0,77087404676,175582749261,248856,236.997000,154.368000,0.000000,0.000000,391.365000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164553,0
89,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,176128,6743738,20875653,4104192,65198,20875653,1,0,61982050060,139852794657,234037,207.380000,135.354000,0.000000,0.000000,342.734000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164862,0
90,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1847296,10363489,539463,2281472,102693,539463,0,0,23739206781,49914328908,181173,154.352000,132.468000,0.000000,0.000000,286.820000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165195,0
91,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1994752,14797026,2817611,1454080,978913,2817611,0,0,24565171701,34644986837,146567,182.174000,153.220000,0.000000,0.000000,335.394000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164967,0
92,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,20480,47471739,95698906,1019904,49646,95698906,1,73728,272563219336,531932415131,264591,391.844000,157.959000,0.000000,0.000000,549.803000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164952,0
93,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,20480,54220209,572096,3280896,177839,572096,0,0,172291738933,405948918210,271258,337.491000,159.017000,0.000000,0.000000,496.508000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164394,0
94,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,221184,61081662,462385,3497984,196040,462385,0,0,215872170520,510821229900,274798,397.445000,158.482000,0.000000,0.000000,555.927000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165159,0
95,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,2424832,73530238,145728,1531904,54399,145728,0,0,205600926408,489270408580,282098,379.845000,160.632000,0.000000,0.000000,540.477000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164430,0
